,Unnamed: 0,name,n_or_f,name_len
367,367,adolfo malone,f,13
368,368,adolfo mcgee,f,12
369,369,adolfo mckenzie,f,15
370,370,adolfo mckinney,f,15
371,371,adolfo miles,f,12
373,373,adolfo padilla,f,14
374,374,adolfo palacios,f,15
375,375,adolfo pham,f,11
376,376,adolfo phan,f,11
377,377,adolfo porter,f,13
378,378,adolfo robinson,f,15
379,379,adolfo roy,f,10
380,380,adolfo sellers,f,14
381,381,adolfo shelton,f,14
382,382,adolfo silva,f,12
384,384,adolfo soto,f,11
385,385,adolfo stark,f,12
386,386,adolfo tanner,f,13
389,389,adolfo velez,f,12
390,390,adolfo whitehead,f,16
391,391,adolfo wilkerson,f,16
392,392,adolfo wolf,f,11
393,393,adolfo wyatt,f,12
394,394,adolph anthony,f,14
396,396,adolph bradford,f,15
397,397,adolph brown,f,12
398,398,adolph calhoun,f,14
399,399,adolph chung,f,12
400,400,adolph decker,f,13
401,401,adolph everett,f,14
402,402,adolph felix,f,12
403,403,adolph glenn,f,12
404,404,adolph hodges,f,13
405,405,adolph howell,f,13
406,406,adolph humphrey,f,15
407,407,adolph kane,f,11
408,408,adolph kemp,f,11
409,409,adolph love,f,11
410,410,adolph malone,f,13
411,411,adolph marks,f,12
413,413,adolph mccoy,f,12
414,414,adolph mcgee,f,12
415,415,adolph mckee,f,12
417,417,adolph mejia,f,12
418,418,adolph moses,f,12
419,419,adolph moyer,f,12
421,421,adolph pena,f,11
422,422,adolph rivas,f,12
423,423,adolph salgado,f,14
424,424,adolph schmidt,f,14
425,425,adolph sellers,f,14
426,426,adolph shaw,f,11
428,428,adolph singh,f,12
429,429,adolph singleton,f,16
430,430,adolph skinner,f,14
431,431,adolph tucker,f,13
432,432,adolph weber,f,12
433,433,adolph williamson,f,17
434,434,adolph wright,f,13
435,435,adrian acosta,f,13
436,436,adrian byrd,f,11
437,437,adrian carter,f,13
438,438,adrian chung,f,12
439,439,adrian costa,f,12
441,441,adrian dalton,f,13
442,442,adrian daniel,f,13
443,443,adrian davis,f,12
444,444,adrian delgado,f,14
446,446,adrian duffy,f,12
447,447,adrian escobar,f,14
448,448,adrian fields,f,13
449,449,adrian flynn,f,12
451,451,adrian garner,f,13
452,452,adrian glover,f,13
454,454,adrian gutierrez,f,16
455,455,adrian hardy,f,12
457,457,adrian horn,f,11
458,458,adrian krueger,f,14
459,459,adrian liu,f,10
461,461,adrian mcclure,f,14
462,462,adrian mendoza,f,14
463,463,adrian meyer,f,12
464,464,adrian mitchell,f,15
465,465,adrian moody,f,12
467,467,adrian patrick,f,14
468,468,adrian pena,f,11
469,469,adrian powers,f,13
470,470,adrian rose,f,11
471,471,adrian sandoval,f,15
472,472,adrian serrano,f,14
473,473,adrian shepherd,f,15
474,474,adrian simon,f,12
475,475,adrian strong,f,13
476,476,adrian thornton,f,15
478,478,adrian villegas,f,15
479,479,adrian wiggins,f,14
480,480,adrian wilkins,f,14
481,481,agustin anderson,f,16
482,482,agustin anthony,f,15
483,483,agustin atkins,f,14
484,484,agustin booker,f,14
485,485,agustin booth,f,13
486,486,agustin brennan,f,15
487,487,agustin brooks,f,14
488,488,agustin bruce,f,13
489,489,agustin coleman,f,15
490,490,agustin davidson,f,16
492,492,agustin flowers,f,15
493,493,agustin gilmore,f,15
494,494,agustin guevara,f,15
495,495,agustin hanna,f,13
496,496,agustin horne,f,13
497,497,agustin house,f,13
498,498,agustin hudson,f,14
499,499,agustin humphrey,f,16
500,500,agustin johns,f,13
501,501,agustin johnston,f,16
502,502,agustin juarez,f,14
503,503,agustin keith,f,13
504,504,agustin kerr,f,12
505,505,agustin logan,f,13
506,506,agustin lowery,f,14
507,507,agustin lynch,f,13
508,508,agustin mack,f,12
511,511,agustin melendez,f,16
512,512,agustin meyer,f,13
513,513,agustin montes,f,14
514,514,agustin moon,f,12
515,515,agustin morrison,f,16
516,516,agustin murphy,f,14
517,517,agustin odonnell,f,16
518,518,agustin palmer,f,14
519,519,agustin paul,f,12
520,520,agustin perry,f,13
521,521,agustin santiago,f,16
522,522,agustin santos,f,14
523,523,agustin stuart,f,14
524,524,agustin tanner,f,14
527,527,agustin vargas,f,14
528,528,agustin vazquez,f,15
529,529,agustin villegas,f,16
530,530,agustin walter,f,14
531,531,agustin yu,f,10
532,532,ahmad baldwin,f,13
534,534,ahmad bishop,f,12
535,535,ahmad blair,f,11
536,536,ahmad blankenship,f,17
537,537,ahmad brewer,f,12
538,538,ahmad buchanan,f,14
539,539,ahmad carson,f,12
540,540,ahmad cohen,f,11
542,542,ahmad curtis,f,12
543,543,ahmad daniels,f,13
544,544,ahmad dickerson,f,15
545,545,ahmad faulkner,f,14
547,547,ahmad ford,f,10
549,549,ahmad golden,f,12
551,551,ahmad gregory,f,13
552,552,ahmad guerra,f,12
553,553,ahmad guzman,f,12
554,554,ahmad hodges,f,12
555,555,ahmad house,f,11
556,556,ahmad huber,f,11
557,557,ahmad hudson,f,12
558,558,ahmad huff,f,10
559,559,ahmad jacobs,f,12
560,560,ahmad kane,f,10
561,561,ahmad kelly,f,11
562,562,ahmad koch,f,10
564,564,ahmad little,f,12
566,566,ahmad mccarty,f,13
567,567,ahmad moreno,f,12
568,568,ahmad nava,f,10
569,569,ahmad norman,f,12
571,571,ahmad oconnor,f,13
572,572,ahmad olson,f,11
577,577,ahmad richard,f,13
578,578,ahmad stark,f,11
579,579,ahmad stuart,f,12
583,583,ahmed alvarado,f,14
584,584,ahmed bailey,f,12
586,586,ahmed boyer,f,11
587,587,ahmed butler,f,12
588,588,ahmed christian,f,15
589,589,ahmed clarke,f,12
590,590,ahmed davila,f,12
591,591,ahmed dickerson,f,15
592,592,ahmed duncan,f,12
594,594,ahmed franco,f,12
595,595,ahmed frost,f,11
596,596,ahmed gillespie,f,15
597,597,ahmed gilmore,f,13
598,598,ahmed greer,f,11
599,599,ahmed herring,f,13
601,601,ahmed jarvis,f,12
603,603,ahmed kirby,f,11
605,605,ahmed lawrence,f,14
606,606,ahmed macdonald,f,15
607,607,ahmed marsh,f,11
608,608,ahmed martin,f,12
609,609,ahmed maynard,f,13
610,610,ahmed mcintyre,f,14
611,611,ahmed mcmillan,f,14
612,612,ahmed mejia,f,11
613,613,ahmed meyers,f,12
615,615,ahmed nicholson,f,15
616,616,ahmed noble,f,11
617,617,ahmed pace,f,10
619,619,ahmed ramos,f,11
620,620,ahmed shaw,f,10
621,621,ahmed silva,f,11
622,622,ahmed underwood,f,15
624,624,ahmed waters,f,12
627,627,al anderson,f,11
628,628,al anthony,f,10
629,629,al berg,f,7
631,631,al blair,f,8
633,633,al boyle,f,8
634,634,al carpenter,f,12
635,635,al conner,f,9
636,636,al cook,f,7
637,637,al cunningham,f,13
638,638,al donovan,f,10
639,639,al fischer,f,10
640,640,al frost,f,8
641,641,al fuller,f,9
642,642,al greer,f,8
644,644,al hanna,f,8
645,645,al harrington,f,13
647,647,al hernandez,f,12
648,648,al house,f,8
650,650,al jackson,f,10
651,651,al jaramillo,f,12
652,652,al jordan,f,9
653,653,al keith,f,8
654,654,al kirby,f,8
655,655,al knapp,f,8
656,656,al leach,f,8
658,658,al lucas,f,8
659,659,al mcconnell,f,12
660,660,al mckee,f,8
661,661,al mcmahon,f,10
662,662,al morse,f,8
664,664,al orr,f,6
665,665,al pope,f,7
666,666,al richardson,f,13
667,667,al rosales,f,10
668,668,al santana,f,10
669,669,al sawyer,f,9
670,670,al schaefer,f,11
671,671,al sloan,f,8
672,672,al smith,f,8
673,673,al soto,f,7
674,674,al terry,f,8
677,677,al trujillo,f,11
678,678,al villalobos,f,13
680,680,al williamson,f,13
683,683,alan barnett,f,12
684,684,alan barton,f,11
685,685,alan bernard,f,12
686,686,alan blackwell,f,14
687,687,alan blair,f,10
688,688,alan bowman,f,11
689,689,alan cabrera,f,12
691,691,alan cuevas,f,11
692,692,alan donovan,f,12
693,693,alan duarte,f,11
694,694,alan galindo,f,12
695,695,alan graves,f,11
696,696,alan hale,f,9
697,697,alan hodge,f,10
701,701,alan jones,f,10
703,703,alan leblanc,f,12
705,705,alan nunez,f,10
706,706,alan obrien,f,11
707,707,alan parra,f,10
709,709,alan pratt,f,10
710,710,alan price,f,10
711,711,alan reilly,f,11
712,712,alan rocha,f,10
713,713,alan ruiz,f,9
715,715,alan sexton,f,11
716,716,alan sharp,f,10
717,717,alan summers,f,12
718,718,alan vega,f,9
719,719,alan villanueva,f,15
720,720,alan walls,f,10
722,722,alan warren,f,11
724,724,alan woodard,f,12
725,725,alan yu,f,7
726,726,albert adkins,f,13
727,727,albert barry,f,12
728,728,albert beard,f,12
729,729,albert blankenship,f,18
731,731,albert byrd,f,11
732,732,albert chandler,f,15
734,734,albert ellison,f,14
735,735,albert gaines,f,13
736,736,albert gardner,f,14
737,737,albert hail,f,11
738,738,albert hensley,f,14
739,739,albert herman,f,13
740,740,albert ho,f,9
743,743,albert klein,f,12
744,744,albert leach,f,12
745,745,albert lewis,f,12
746,746,albert lindsey,f,14
747,747,albert lynn,f,11
748,748,albert lyons,f,12
749,749,albert may,f,10
750,750,albert medina,f,13
751,751,albert miller,f,13
752,752,albert moreno,f,13
754,754,albert peck,f,11
755,755,albert proctor,f,14
756,756,albert randolph,f,15
757,757,albert rangel,f,13
758,758,albert sanders,f,14
759,759,albert schwartz,f,15
760,760,albert shields,f,14
761,761,albert smith,f,12
762,762,albert sparks,f,13
763,763,albert vargas,f,13
764,764,albert villanueva,f,17
766,766,albert whitaker,f,15
767,767,albert wiggins,f,14
768,768,albert wilkins,f,14
770,770,alberto ashley,f,14
771,771,alberto bailey,f,14
772,772,alberto bartlett,f,16
773,773,alberto bishop,f,14
774,774,alberto bonilla,f,15
775,775,alberto bradford,f,16
776,776,alberto brown,f,13
777,777,alberto chang,f,13
778,778,alberto chen,f,12
779,779,alberto coleman,f,15
781,781,alberto corona,f,14
783,783,alberto davidson,f,16
784,784,alberto duarte,f,14
785,785,alberto duncan,f,14
787,787,alberto ferguson,f,16
788,788,alberto fitzpatrick,f,19
789,789,alberto fox,f,11
790,790,alberto frazier,f,15
791,791,alberto graves,f,14
792,792,alberto greer,f,13
793,793,alberto grimes,f,14
794,794,alberto harvey,f,14
795,795,alberto hobbs,f,13
797,797,alberto jarvis,f,14
798,798,alberto jensen,f,14
799,799,alberto keith,f,13
801,801,alberto kramer,f,14
802,802,alberto le,f,10
803,803,alberto lozano,f,14
804,804,alberto mack,f,12
805,805,alberto manning,f,15
806,806,alberto mccarthy,f,16
807,807,alberto mcmahon,f,15
808,808,alberto olsen,f,13
809,809,alberto owens,f,13
810,810,alberto phan,f,12
811,811,alberto roberson,f,16
812,812,alberto schwartz,f,16
813,813,alberto shah,f,12
814,814,alberto stephenson,f,18
818,818,alberto waller,f,14
819,819,alberto welch,f,13
820,820,alberto wilkerson,f,17
821,821,alden bailey,f,12
822,822,alden bartlett,f,14
823,823,alden bass,f,10
824,824,alden bernal,f,12
825,825,alden blake,f,11
826,826,alden blanchard,f,15
828,828,alden calderon,f,14
829,829,alden camacho,f,13
830,830,alden contreras,f,15
831,831,alden davenport,f,15
832,832,alden esquivel,f,14
833,833,alden everett,f,13
834,834,alden farrell,f,13
835,835,alden fuller,f,12
837,837,alden graves,f,12
838,838,alden hobbs,f,11
839,839,alden hoffman,f,13
840,840,alden johnson,f,13
841,841,alden kaur,f,10
843,843,alden mack,f,10
844,844,alden mckenzie,f,14
846,846,alden mora,f,10
847,847,alden morgan,f,12
848,848,alden myers,f,11
850,850,alden phan,f,10
851,851,alden rios,f,10
852,852,alden roach,f,11
853,853,alden rush,f,10
855,855,alden simmons,f,13
856,856,alden small,f,11
858,858,alden vaughan,f,13
859,859,alden wall,f,10
860,860,alden watts,f,11
861,861,alden wolf,f,10
862,862,aldo bass,f,9
863,863,aldo bean,f,9
864,864,aldo boone,f,10
865,865,aldo bullock,f,12
867,867,aldo church,f,11
869,869,aldo conrad,f,11
870,870,aldo daniels,f,12
872,872,aldo dickson,f,12
873,873,aldo dillon,f,11
874,874,aldo douglas,f,12
875,875,aldo dudley,f,11
876,876,aldo farmer,f,11
877,877,aldo frederick,f,14
878,878,aldo gaines,f,11
879,879,aldo galindo,f,12
880,880,aldo griffith,f,13
881,881,aldo gross,f,10
882,882,aldo hanna,f,10
883,883,aldo hart,f,9
884,884,aldo hensley,f,12
885,885,aldo hodge,f,10
886,886,aldo huang,f,10
887,887,aldo kirk,f,9
888,888,aldo lindsey,f,12
889,889,aldo manning,f,12
890,890,aldo matthews,f,13
891,891,aldo mcgee,f,10
892,892,aldo mclaughlin,f,15
893,893,aldo morrow,f,11
894,894,aldo newton,f,11
897,897,aldo phan,f,9
899,899,aldo reed,f,9
901,901,aldo rocha,f,10
903,903,aldo sherman,f,12
904,904,aldo snow,f,9
905,905,aldo stuart,f,11
906,906,aldo vo,f,7
907,907,aldo yu,f,7
908,908,aldo zimmerman,f,14
909,909,alec andersen,f,13
910,910,alec avila,f,10
911,911,alec barron,f,11
912,912,alec bates,f,10
913,913,alec blanchard,f,14
916,916,alec branch,f,11
917,917,alec buckley,f,12
918,918,alec bush,f,9
920,920,alec chang,f,10
921,921,alec chavez,f,11
922,922,alec chung,f,10
923,923,alec clayton,f,12
924,924,alec ellis,f,10
926,926,alec fry,f,8
928,928,alec galvan,f,11
929,929,alec garrison,f,13
930,930,alec glenn,f,10
931,931,alec good,f,9
932,932,alec hickman,f,12
933,933,alec hines,f,10
934,934,alec hood,f,9
935,935,alec hubbard,f,12
937,937,alec jaramillo,f,14
938,938,alec jenkins,f,12
939,939,alec martinez,f,13
940,940,alec mata,f,9
942,942,alec mckinney,f,13
944,944,alec moss,f,9
947,947,alec patel,f,10
948,948,alec pena,f,9
950,950,alec ruiz,f,9
951,951,alec salinas,f,12
952,952,alec sanders,f,12
953,953,alec santiago,f,13
954,954,alec sellers,f,12
955,955,alec sierra,f,11
956,956,alec steele,f,11
957,957,alec stone,f,10
958,958,alec tanner,f,11
960,960,alec wyatt,f,10
961,961,alec zhang,f,10
962,962,alejandro atkins,f,16
963,963,alejandro ballard,f,17
964,964,alejandro benson,f,16
965,965,alejandro bowers,f,16
966,966,alejandro bradshaw,f,18
967,967,alejandro buckley,f,17
968,968,alejandro chan,f,14
970,970,alejandro christensen,f,21
971,971,alejandro cobb,f,14
972,972,alejandro cortez,f,16
974,974,alejandro davis,f,15
975,975,alejandro douglas,f,17
976,976,alejandro floyd,f,15
977,977,alejandro george,f,16
978,978,alejandro gillespie,f,19
979,979,alejandro guevara,f,17
980,980,alejandro hancock,f,17
981,981,alejandro hanson,f,16
982,982,alejandro heath,f,15
984,984,alejandro koch,f,14
986,986,alejandro lawson,f,16
987,987,alejandro li,f,12
988,988,alejandro mack,f,14
990,990,alejandro meza,f,14
991,991,alejandro moreno,f,16
993,993,alejandro olsen,f,15
995,995,alejandro pena,f,14
996,996,alejandro person,f,16
997,997,alejandro randolph,f,18
998,998,alejandro salazar,f,17
999,999,alejandro sanford,f,17
1000,1000,alejandro santiago,f,18
1001,1001,alejandro skinner,f,17
1003,1003,alejandro strong,f,16
1004,1004,alejandro truong,f,16
1005,1005,alejandro walsh,f,15
1006,1006,alejandro welch,f,15
1007,1007,alejandro woods,f,15
1009,1009,alejandro yates,f,15
1011,1011,alex baxter,f,11
1012,1012,alex berry,f,10
1013,1013,alex blevins,f,12
1014,1014,alex boyer,f,10
1015,1015,alex burnett,f,12
1016,1016,alex cain,f,9
1017,1017,alex cortes,f,11
1018,1018,alex dejesus,f,12
1019,1019,alex dickerson,f,14
1021,1021,alex fowler,f,11
1022,1022,alex graham,f,11
1023,1023,alex grimes,f,11
1025,1025,alex hood,f,9
1026,1026,alex howard,f,11
1028,1028,alex maldonado,f,14
1029,1029,alex mann,f,9
1030,1030,alex mcclain,f,12
1031,1031,alex mercado,f,12
1032,1032,alex moon,f,9
1035,1035,alex orr,f,8
1036,1036,alex owens,f,10
1038,1038,alex parks,f,10
1039,1039,alex poole,f,10
1040,1040,alex powell,f,11
1042,1042,alex rhodes,f,11
1043,1043,alex salinas,f,12
1044,1044,alex santiago,f,13
1045,1045,alex simmons,f,12
1046,1046,alex snyder,f,11
1047,1047,alex valencia,f,13
1048,1048,alex washington,f,15
1049,1049,alex webb,f,9
1050,1050,alex wolf,f,9
1051,1051,alexander ahmed,f,15
1052,1052,alexander bender,f,16
1053,1053,alexander benitez,f,17
1054,1054,alexander benjamin,f,18
1055,1055,alexander brock,f,15
1056,1056,alexander delgado,f,17
1057,1057,alexander espinoza,f,18
1058,1058,alexander fleming,f,17
1060,1060,alexander grant,f,15
1061,1061,alexander guerrero,f,18
1062,1062,alexander hamilton,f,18
1063,1063,alexander ho,f,12
1064,1064,alexander holloway,f,18
1065,1065,alexander lawson,f,16
1066,1066,alexander livingston,f,20
1067,1067,alexander lloyd,f,15
1068,1068,alexander malone,f,16
1069,1069,alexander mata,f,14
1070,1070,alexander mccarty,f,17
1071,1071,alexander mcgee,f,15
1072,1072,alexander mckenzie,f,18
1073,1073,alexander moody,f,15
1074,1074,alexander payne,f,15
1075,1075,alexander petersen,f,18
1076,1076,alexander ramos,f,15
1077,1077,alexander raymond,f,17
1078,1078,alexander richards,f,18
1079,1079,alexander rivera,f,16
1080,1080,alexander rogers,f,16
1081,1081,alexander salinas,f,17
1082,1082,alexander sharp,f,15
1083,1083,alexander shelton,f,17
1084,1084,alexander sierra,f,16
1085,1085,alexander steele,f,16
1086,1086,alexander vargas,f,16
1087,1087,alexander vaughn,f,16
1088,1088,alexander vu,f,12
1090,1090,alexander ward,f,14
1091,1091,alexander young,f,15
1092,1092,alexis allen,f,12
1093,1093,alexis benitez,f,14
1094,1094,alexis bennett,f,14
1096,1096,alexis carpenter,f,16
1097,1097,alexis carson,f,13
1098,1098,alexis charles,f,14
1101,1101,alexis davila,f,13
1102,1102,alexis dean,f,11
1103,1103,alexis dodson,f,13
1104,1104,alexis dorsey,f,13
1106,1106,alexis glover,f,13
1108,1108,alexis haynes,f,13
1109,1109,alexis hendrix,f,14
1110,1110,alexis hickman,f,14
1111,1111,alexis hodges,f,13
1112,1112,alexis hogan,f,12
1113,1113,alexis huber,f,12
1114,1114,alexis huerta,f,13
1115,1115,alexis hull,f,11
1116,1116,alexis lawson,f,13
1117,1117,alexis lynch,f,12
1119,1119,alexis martin,f,13
1120,1120,alexis norman,f,13
1121,1121,alexis owens,f,12
1122,1122,alexis perkins,f,14
1123,1123,alexis price,f,12
1125,1125,alexis rose,f,11
1126,1126,alexis shaw,f,11
1128,1128,alexis stein,f,12
1129,1129,alexis thornton,f,15
1131,1131,alexis vang,f,11
1132,1132,alfonso ayers,f,13
1133,1133,alfonso bruce,f,13
1134,1134,alfonso cardenas,f,16
1136,1136,alfonso choi,f,12
1137,1137,alfonso cobb,f,12
1138,1138,alfonso cochran,f,15
1139,1139,alfonso crawford,f,16
1141,1141,alfonso finley,f,14
1142,1142,alfonso gibson,f,14
1143,1143,alfonso gordon,f,14
1145,1145,alfonso haynes,f,14
1146,1146,alfonso hickman,f,15
1147,1147,alfonso ibarra,f,14
1148,1148,alfonso ingram,f,14
1149,1149,alfonso jenkins,f,15
1150,1150,alfonso jensen,f,14
1151,1151,alfonso kirby,f,13
1153,1153,alfonso larsen,f,14
1154,1154,alfonso lozano,f,14
1155,1155,alfonso mccarthy,f,16
