,name,n_or_f,name_len
106,abe pineda,f,10
107,abe pollard,f,11
108,abe prince,f,10
109,abe pugh,f,8
110,abe richardson,f,14
111,abe sanders,f,11
112,abe santana,f,11
113,abe sullivan,f,12
114,abe thompson,f,12
115,abe walker,f,10
116,abe wall,f,8
117,abe wells,f,9
118,abe wilson,f,10
119,abe zavala,f,10
120,abel adams,f,10
121,abel anderson,f,13
122,abel ball,f,9
123,abel barker,f,11
124,abel beil,f,9
125,abel carter,f,11
126,abel conrad,f,11
127,abel crosby,f,11
128,abel dickson,f,12
129,abel elliott,f,12
130,abel ellison,f,12
131,abel estrada,f,12
132,abel farrell,f,12
133,abel frank,f,10
134,abel fry,f,8
135,abel grimes,f,11
136,abel harris,f,11
137,abel henson,f,11
138,abel huber,f,10
139,abel huerta,f,11
140,abel humphrey,f,13
141,abel mcmahon,f,12
142,abel melton,f,11
143,abel mills,f,10
144,abel miranda,f,12
145,abel montgomery,f,15
146,abel morales,f,12
147,abel phelps,f,11
148,abel rangel,f,11
149,abel rodriguez,f,14
150,abel schroeder,f,14
151,abel townsend,f,13
152,abel trevino,f,12
153,abel ward,f,9
154,abel wolf,f,9
155,abel yu,f,7
156,abraham beard,f,13
157,abraham best,f,12
158,abraham browning,f,16
159,abraham burton,f,14
160,abraham camacho,f,15
161,abraham cisneros,f,16
162,abraham dixon,f,13
163,abraham flores,f,14
164,abraham foster,f,14
165,abraham grant,f,13
166,abraham guzman,f,14
167,abraham hansen,f,14
168,abraham jacobs,f,14
169,abraham koch,f,12
170,abraham little,f,14
171,abraham mason,f,13
172,abraham mata,f,12
173,abraham mayo,f,12
174,abraham molina,f,14
175,abraham murphy,f,14
176,abraham ortega,f,14
177,abraham park,f,12
178,abraham patrick,f,15
179,abraham prince,f,14
180,abraham rhodes,f,14
181,abraham rocha,f,13
182,abraham roman,f,13
183,abraham salinas,f,15
184,abraham simon,f,13
185,abraham sloan,f,13
186,abraham stone,f,13
187,abraham todd,f,12
188,abraham villarreal,f,18
189,abraham warren,f,14
190,abraham woodward,f,16
191,abraham york,f,12
192,abram adkins,f,12
193,abram allen,f,11
194,abram allison,f,13
195,abram bailey,f,12
196,abram beasley,f,13
197,abram boone,f,11
198,abram boyle,f,11
199,abram briggs,f,12
200,abram camacho,f,13
201,abram carson,f,12
202,abram chambers,f,14
203,abram dillon,f,12
204,abram edwards,f,13
205,abram gallagher,f,15
206,abram garner,f,12
207,abram guzman,f,12
208,abram hawkins,f,13
209,abram hill,f,10
210,abram holland,f,13
211,abram kemp,f,10
212,abram lawson,f,12
213,abram lee,f,9
214,abram lloyd,f,11
215,abram mata,f,10
216,abram mcmahon,f,13
217,abram medrano,f,13
218,abram nolan,f,11
219,abram pace,f,10
220,abram park,f,10
221,abram parsons,f,13
222,abram patterson,f,15
223,abram pitts,f,11
224,abram portillo,f,14
225,abram sanford,f,13
226,abram schneider,f,15
227,abram shannon,f,13
228,abram singleton,f,15
229,abram suarez,f,12
230,abram sutton,f,12
231,abram taylor,f,12
232,abram todd,f,10
233,abram velasquez,f,15
234,abram vincent,f,13
235,abram ward,f,10
236,abram watkins,f,13
237,abram welch,f,11
238,adalberto anderson,f,18
239,adalberto booth,f,15
240,adalberto boyd,f,14
241,adalberto buckley,f,17
242,adalberto callahan,f,18
243,adalberto chang,f,15
244,adalberto dawson,f,16
245,adalberto farley,f,16
246,adalberto fischer,f,17
247,adalberto franco,f,16
248,adalberto fry,f,13
249,adalberto galindo,f,17
250,adalberto gardner,f,17
251,adalberto garner,f,16
252,adalberto hancock,f,17
253,adalberto hebert,f,16
254,adalberto hendricks,f,19
255,adalberto howard,f,16
256,adalberto hudson,f,16
257,adalberto kemp,f,14
258,adalberto mills,f,15
259,adalberto myers,f,15
260,adalberto nicholson,f,19
261,adalberto parker,f,16
262,adalberto perkins,f,17
263,adalberto pruitt,f,16
264,adalberto schneider,f,19
265,adalberto shepard,f,17
266,adalberto shepherd,f,18
267,adalberto tate,f,14
268,adalberto villa,f,15
269,adalberto ward,f,14
270,adalberto webb,f,14
271,adalberto welch,f,15
272,adam avila,f,10
273,adam ballard,f,12
274,adam best,f,9
275,adam burch,f,10
276,adam collier,f,12
277,adam compton,f,12
278,adam cook,f,9
279,adam cordova,f,12
280,adam cortes,f,11
281,adam cuevas,f,11
282,adam dorsey,f,11
283,adam ellis,f,10
284,adam fowler,f,11
285,adam glass,f,10
286,adam hanson,f,11
287,adam hood,f,9
288,adam hutchinson,f,15
289,adam ibarra,f,11
290,adam johns,f,10
291,adam juarez,f,11
292,adam leach,f,10
293,adam lowe,f,9
294,adam mann,f,9
295,adam marks,f,10
296,adam mathews,f,12
297,adam mcmahon,f,12
298,adam nolan,f,10
299,adam ochoa,f,10
300,adam owens,f,10
301,adam park,f,9
302,adam parks,f,10
303,adam porter,f,11
304,adam rollins,f,12
305,adam sparks,f,11
306,adam spears,f,11
307,adam stevenson,f,14
308,adam sweeney,f,12
309,adam vargas,f,11
310,adan bates,f,10
311,adan bernard,f,12
312,adan blanchard,f,14
313,adan buckley,f,12
314,adan burgess,f,12
315,adan cabrera,f,12
316,adan campos,f,11
317,adan cardenas,f,13
318,adan carroll,f,12
319,adan clayton,f,12
320,adan cochran,f,12
321,adan daniel,f,11
322,adan davis,f,10
323,adan duncan,f,11
324,adan farrell,f,12
325,adan frederick,f,14
326,adan gray,f,9
327,adan hall,f,9
328,adan huang,f,10
329,adan kelly,f,10
330,adan kennedy,f,12
331,adan kerr,f,9
332,adan koch,f,9
333,adan mahoney,f,12
334,adan mays,f,9
335,adan mcclain,f,12
336,adan mcguire,f,12
337,adan montoya,f,12
338,adan newton,f,11
339,adan noble,f,10
340,adan oneill,f,11
341,adan robbins,f,12
342,adan robinson,f,13
343,adan rojas,f,10
344,adan rubio,f,10
345,adan sampson,f,12
346,adan stanley,f,12
347,adan velasquez,f,14
348,adan ventura,f,12
349,adan wilkinson,f,14
350,adolfo boone,f,12
351,adolfo chan,f,11
352,adolfo cline,f,12
353,adolfo conner,f,13
354,adolfo cross,f,12
355,adolfo curry,f,12
356,adolfo dawson,f,13
357,adolfo dixon,f,12
358,adolfo duarte,f,13
359,adolfo fleming,f,14
360,adolfo garza,f,12
361,adolfo gates,f,12
362,adolfo guevara,f,14
363,adolfo hancock,f,14
364,adolfo jacobson,f,15
365,adolfo jensen,f,13
366,adolfo lamb,f,11
367,adolfo malone,f,13
368,adolfo mcgee,f,12
369,adolfo mckenzie,f,15
370,adolfo mckinney,f,15
371,adolfo miles,f,12
372,adolfo montgomery,f,17
373,adolfo padilla,f,14
374,adolfo palacios,f,15
375,adolfo pham,f,11
376,adolfo phan,f,11
377,adolfo porter,f,13
378,adolfo robinson,f,15
379,adolfo roy,f,10
380,adolfo sellers,f,14
381,adolfo shelton,f,14
382,adolfo silva,f,12
383,adolfo singleton,f,16
384,adolfo soto,f,11
385,adolfo stark,f,12
386,adolfo tanner,f,13
387,adolfo thompson,f,15
388,adolfo townsend,f,15
389,adolfo velez,f,12
390,adolfo whitehead,f,16
391,adolfo wilkerson,f,16
392,adolfo wolf,f,11
393,adolfo wyatt,f,12
394,adolph anthony,f,14
395,adolph boyle,f,12
396,adolph bradford,f,15
397,adolph brown,f,12
398,adolph calhoun,f,14
399,adolph chung,f,12
400,adolph decker,f,13
401,adolph everett,f,14
402,adolph felix,f,12
403,adolph glenn,f,12
404,adolph hodges,f,13
405,adolph howell,f,13
406,adolph humphrey,f,15
407,adolph kane,f,11
408,adolph kemp,f,11
409,adolph love,f,11
410,adolph malone,f,13
411,adolph marks,f,12
412,adolph mayo,f,11
413,adolph mccoy,f,12
414,adolph mcgee,f,12
415,adolph mckee,f,12
416,adolph meadows,f,14
417,adolph mejia,f,12
418,adolph moses,f,12
419,adolph moyer,f,12
420,adolph nolan,f,12
421,adolph pena,f,11
422,adolph rivas,f,12
423,adolph salgado,f,14
424,adolph schmidt,f,14
425,adolph sellers,f,14
426,adolph shaw,f,11
427,adolph sherman,f,14
428,adolph singh,f,12
429,adolph singleton,f,16
430,adolph skinner,f,14
431,adolph tucker,f,13
432,adolph weber,f,12
433,adolph williamson,f,17
434,adolph wright,f,13
435,adrian acosta,f,13
436,adrian byrd,f,11
437,adrian carter,f,13
438,adrian chung,f,12
439,adrian costa,f,12
440,adrian curry,f,12
441,adrian dalton,f,13
442,adrian daniel,f,13
443,adrian davis,f,12
444,adrian delgado,f,14
445,adrian duarte,f,13
446,adrian duffy,f,12
447,adrian escobar,f,14
448,adrian fields,f,13
449,adrian flynn,f,12
450,adrian gaines,f,13
451,adrian garner,f,13
452,adrian glover,f,13
453,adrian grant,f,12
454,adrian gutierrez,f,16
455,adrian hardy,f,12
456,adrian heath,f,12
457,adrian horn,f,11
458,adrian krueger,f,14
459,adrian liu,f,10
460,adrian lopez,f,12
461,adrian mcclure,f,14
462,adrian mendoza,f,14
463,adrian meyer,f,12
464,adrian mitchell,f,15
465,adrian moody,f,12
466,adrian obrien,f,13
467,adrian patrick,f,14
468,adrian pena,f,11
469,adrian powers,f,13
470,adrian rose,f,11
471,adrian sandoval,f,15
472,adrian serrano,f,14
473,adrian shepherd,f,15
474,adrian simon,f,12
475,adrian strong,f,13
476,adrian thornton,f,15
477,adrian torres,f,13
478,adrian villegas,f,15
479,adrian wiggins,f,14
480,adrian wilkins,f,14
481,agustin anderson,f,16
482,agustin anthony,f,15
483,agustin atkins,f,14
484,agustin booker,f,14
485,agustin booth,f,13
486,agustin brennan,f,15
487,agustin brooks,f,14
488,agustin bruce,f,13
489,agustin coleman,f,15
490,agustin davidson,f,16
491,agustin enriquez,f,16
492,agustin flowers,f,15
493,agustin gilmore,f,15
494,agustin guevara,f,15
495,agustin hanna,f,13
496,agustin horne,f,13
497,agustin house,f,13
498,agustin hudson,f,14
499,agustin humphrey,f,16
500,agustin johns,f,13
501,agustin johnston,f,16
502,agustin juarez,f,14
503,agustin keith,f,13
504,agustin kerr,f,12
505,agustin logan,f,13
506,agustin lowery,f,14
507,agustin lynch,f,13
508,agustin mack,f,12
509,agustin martinez,f,16
510,agustin mays,f,12
511,agustin melendez,f,16
512,agustin meyer,f,13
513,agustin montes,f,14
514,agustin moon,f,12
515,agustin morrison,f,16
516,agustin murphy,f,14
517,agustin odonnell,f,16
518,agustin palmer,f,14
519,agustin paul,f,12
520,agustin perry,f,13
521,agustin santiago,f,16
522,agustin santos,f,14
523,agustin stuart,f,14
524,agustin tanner,f,14
525,agustin terrell,f,15
526,agustin todd,f,12
527,agustin vargas,f,14
528,agustin vazquez,f,15
529,agustin villegas,f,16
530,agustin walter,f,14
531,agustin yu,f,10
532,ahmad baldwin,f,13
533,ahmad beil,f,10
534,ahmad bishop,f,12
535,ahmad blair,f,11
536,ahmad blankenship,f,17
537,ahmad brewer,f,12
538,ahmad buchanan,f,14
539,ahmad carson,f,12
540,ahmad cohen,f,11
541,ahmad cordova,f,13
542,ahmad curtis,f,12
543,ahmad daniels,f,13
544,ahmad dickerson,f,15
545,ahmad faulkner,f,14
546,ahmad fitzgerald,f,16
547,ahmad ford,f,10
548,ahmad garrison,f,14
549,ahmad golden,f,12
550,ahmad grant,f,11
551,ahmad gregory,f,13
552,ahmad guerra,f,12
553,ahmad guzman,f,12
554,ahmad hodges,f,12
555,ahmad house,f,11
556,ahmad huber,f,11
557,ahmad hudson,f,12
558,ahmad huff,f,10
559,ahmad jacobs,f,12
560,ahmad kane,f,10
561,ahmad kelly,f,11
562,ahmad koch,f,10
563,ahmad lee,f,9
564,ahmad little,f,12
565,ahmad maynard,f,13
566,ahmad mccarty,f,13
567,ahmad moreno,f,12
568,ahmad nava,f,10
569,ahmad norman,f,12
570,ahmad nunez,f,11
571,ahmad oconnor,f,13
572,ahmad olson,f,11
573,ahmad palacios,f,14
574,ahmad porter,f,12
575,ahmad powers,f,12
576,ahmad rangel,f,12
577,ahmad richard,f,13
578,ahmad stark,f,11
579,ahmad stuart,f,12
580,ahmad suarez,f,12
581,ahmad tapia,f,11
582,ahmad thornton,f,14
583,ahmed alvarado,f,14
584,ahmed bailey,f,12
585,ahmed barnett,f,13
586,ahmed boyer,f,11
587,ahmed butler,f,12
588,ahmed christian,f,15
589,ahmed clarke,f,12
590,ahmed davila,f,12
591,ahmed dickerson,f,15
592,ahmed duncan,f,12
593,ahmed fischer,f,13
594,ahmed franco,f,12
595,ahmed frost,f,11
596,ahmed gillespie,f,15
597,ahmed gilmore,f,13
598,ahmed greer,f,11
599,ahmed herring,f,13
600,ahmed jackson,f,13
601,ahmed jarvis,f,12
602,ahmed kane,f,10
603,ahmed kirby,f,11
604,ahmed kline,f,11
605,ahmed lawrence,f,14
606,ahmed macdonald,f,15
607,ahmed marsh,f,11
608,ahmed martin,f,12
609,ahmed maynard,f,13
610,ahmed mcintyre,f,14
611,ahmed mcmillan,f,14
612,ahmed mejia,f,11
613,ahmed meyers,f,12
614,ahmed munoz,f,11
615,ahmed nicholson,f,15
616,ahmed noble,f,11
617,ahmed pace,f,10
618,ahmed parra,f,11
619,ahmed ramos,f,11
620,ahmed shaw,f,10
621,ahmed silva,f,11
622,ahmed underwood,f,15
623,ahmed vo,f,8
624,ahmed waters,f,12
625,ahmed wheeler,f,13
626,ahmed wood,f,10
627,al anderson,f,11
628,al anthony,f,10
629,al berg,f,7
630,al berger,f,9
631,al blair,f,8
632,al boyd,f,7
633,al boyle,f,8
634,al carpenter,f,12
635,al conner,f,9
636,al cook,f,7
637,al cunningham,f,13
638,al donovan,f,10
639,al fischer,f,10
640,al frost,f,8
641,al fuller,f,9
642,al greer,f,8
643,al hail,f,7
644,al hanna,f,8
645,al harrington,f,13
646,al henderson,f,12
647,al hernandez,f,12
648,al house,f,8
649,al hurley,f,9
650,al jackson,f,10
651,al jaramillo,f,12
652,al jordan,f,9
653,al keith,f,8
654,al kirby,f,8
655,al knapp,f,8
656,al leach,f,8
657,al lu,f,5
658,al lucas,f,8
659,al mcconnell,f,12
660,al mckee,f,8
661,al mcmahon,f,10
662,al morse,f,8
663,al navarro,f,10
664,al orr,f,6
665,al pope,f,7
666,al richardson,f,13
667,al rosales,f,10
668,al santana,f,10
669,al sawyer,f,9
670,al schaefer,f,11
671,al sloan,f,8
672,al smith,f,8
673,al soto,f,7
674,al terry,f,8
675,al tran,f,7
676,al travis,f,9
677,al trujillo,f,11
678,al villalobos,f,13
679,al waller,f,9
680,al williamson,f,13
681,alan arias,f,10
682,alan avalos,f,11
683,alan barnett,f,12
684,alan barton,f,11
685,alan bernard,f,12
686,alan blackwell,f,14
687,alan blair,f,10
688,alan bowman,f,11
689,alan cabrera,f,12
690,alan carlson,f,12
691,alan cuevas,f,11
692,alan donovan,f,12
693,alan duarte,f,11
694,alan galindo,f,12
695,alan graves,f,11
696,alan hale,f,9
697,alan hodge,f,10
698,alan holland,f,12
699,alan jefferson,f,14
700,alan jennings,f,13
701,alan jones,f,10
702,alan knox,f,9
703,alan leblanc,f,12
704,alan lester,f,11
705,alan nunez,f,10
706,alan obrien,f,11
707,alan parra,f,10
708,alan pena,f,9
709,alan pratt,f,10
710,alan price,f,10
711,alan reilly,f,11
712,alan rocha,f,10
713,alan ruiz,f,9
714,alan santos,f,11
715,alan sexton,f,11
716,alan sharp,f,10
717,alan summers,f,12
718,alan vega,f,9
719,alan villanueva,f,15
720,alan walls,f,10
721,alan ware,f,9
722,alan warren,f,11
723,alan white,f,10
724,alan woodard,f,12
725,alan yu,f,7
726,albert adkins,f,13
727,albert barry,f,12
728,albert beard,f,12
729,albert blankenship,f,18
730,albert bridges,f,14
731,albert byrd,f,11
732,albert chandler,f,15
733,albert crawford,f,15
734,albert ellison,f,14
735,albert gaines,f,13
736,albert gardner,f,14
737,albert hail,f,11
738,albert hensley,f,14
739,albert herman,f,13
740,albert ho,f,9
741,albert hudson,f,13
742,albert johnson,f,14
743,albert klein,f,12
744,albert leach,f,12
745,albert lewis,f,12
746,albert lindsey,f,14
747,albert lynn,f,11
748,albert lyons,f,12
749,albert may,f,10
750,albert medina,f,13
751,albert miller,f,13
752,albert moreno,f,13
753,albert ortiz,f,12
754,albert peck,f,11
755,albert proctor,f,14
756,albert randolph,f,15
757,albert rangel,f,13
758,albert sanders,f,14
759,albert schwartz,f,15
760,albert shields,f,14
761,albert smith,f,12
762,albert sparks,f,13
763,albert vargas,f,13
764,albert villanueva,f,17
765,albert warren,f,13
766,albert whitaker,f,15
767,albert wiggins,f,14
768,albert wilkins,f,14
769,albert yoder,f,12
770,alberto ashley,f,14
771,alberto bailey,f,14
772,alberto bartlett,f,16
773,alberto bishop,f,14
774,alberto bonilla,f,15
775,alberto bradford,f,16
776,alberto brown,f,13
777,alberto chang,f,13
778,alberto chen,f,12
779,alberto coleman,f,15
780,alberto cordova,f,15
781,alberto corona,f,14
782,alberto cortes,f,14
783,alberto davidson,f,16
784,alberto duarte,f,14
785,alberto duncan,f,14
786,alberto duran,f,13
787,alberto ferguson,f,16
788,alberto fitzpatrick,f,19
789,alberto fox,f,11
790,alberto frazier,f,15
791,alberto graves,f,14
792,alberto greer,f,13
793,alberto grimes,f,14
794,alberto harvey,f,14
795,alberto hobbs,f,13
796,alberto hodges,f,14
797,alberto jarvis,f,14
798,alberto jensen,f,14
799,alberto keith,f,13
800,alberto koch,f,12
801,alberto kramer,f,14
802,alberto le,f,10
803,alberto lozano,f,14
804,alberto mack,f,12
805,alberto manning,f,15
806,alberto mccarthy,f,16
807,alberto mcmahon,f,15
808,alberto olsen,f,13
809,alberto owens,f,13
810,alberto phan,f,12
811,alberto roberson,f,16
812,alberto schwartz,f,16
813,alberto shah,f,12
814,alberto stephenson,f,18
815,alberto sweeney,f,15
816,alberto travis,f,14
817,alberto vance,f,13
818,alberto waller,f,14
819,alberto welch,f,13
820,alberto wilkerson,f,17
821,alden bailey,f,12
822,alden bartlett,f,14
823,alden bass,f,10
824,alden bernal,f,12
825,alden blake,f,11
826,alden blanchard,f,15
827,alden bowers,f,12
828,alden calderon,f,14
829,alden camacho,f,13
830,alden contreras,f,15
831,alden davenport,f,15
832,alden esquivel,f,14
833,alden everett,f,13
834,alden farrell,f,13
835,alden fuller,f,12
836,alden good,f,10
837,alden graves,f,12
838,alden hobbs,f,11
839,alden hoffman,f,13
840,alden johnson,f,13
841,alden kaur,f,10
842,alden logan,f,11
843,alden mack,f,10
844,alden mckenzie,f,14
845,alden moon,f,10
846,alden mora,f,10
847,alden morgan,f,12
848,alden myers,f,11
849,alden page,f,10
850,alden phan,f,10
851,alden rios,f,10
852,alden roach,f,11
853,alden rush,f,10
854,alden salazar,f,13
855,alden simmons,f,13
856,alden small,f,11
857,alden terrell,f,13
858,alden vaughan,f,13
859,alden wall,f,10
860,alden watts,f,11
861,alden wolf,f,10
862,aldo bass,f,9
863,aldo bean,f,9
864,aldo boone,f,10
865,aldo bullock,f,12
866,aldo castaneda,f,14
867,aldo church,f,11
868,aldo clayton,f,12
869,aldo conrad,f,11
870,aldo daniels,f,12
871,aldo day,f,8
872,aldo dickson,f,12
873,aldo dillon,f,11
874,aldo douglas,f,12
875,aldo dudley,f,11
876,aldo farmer,f,11
877,aldo frederick,f,14
878,aldo gaines,f,11
879,aldo galindo,f,12
880,aldo griffith,f,13
881,aldo gross,f,10
882,aldo hanna,f,10
883,aldo hart,f,9
884,aldo hensley,f,12
885,aldo hodge,f,10
886,aldo huang,f,10
887,aldo kirk,f,9
888,aldo lindsey,f,12
889,aldo manning,f,12
890,aldo matthews,f,13
891,aldo mcgee,f,10
892,aldo mclaughlin,f,15
893,aldo morrow,f,11
894,aldo newton,f,11
895,aldo patton,f,11
896,aldo pennington,f,15
897,aldo phan,f,9
898,aldo ramirez,f,12
899,aldo reed,f,9
900,aldo rice,f,9
901,aldo rocha,f,10
902,aldo rubio,f,10
903,aldo sherman,f,12
904,aldo snow,f,9
905,aldo stuart,f,11
906,aldo vo,f,7
907,aldo yu,f,7
908,aldo zimmerman,f,14
909,alec andersen,f,13
910,alec avila,f,10
911,alec barron,f,11
912,alec bates,f,10
913,alec blanchard,f,14
914,alec boone,f,10
915,alec bowman,f,11
916,alec branch,f,11
917,alec buckley,f,12
918,alec bush,f,9
919,alec campbell,f,13
920,alec chang,f,10
921,alec chavez,f,11
922,alec chung,f,10
923,alec clayton,f,12
924,alec ellis,f,10
925,alec friedman,f,13
926,alec fry,f,8
927,alec gaines,f,11
928,alec galvan,f,11
929,alec garrison,f,13
930,alec glenn,f,10
931,alec good,f,9
932,alec hickman,f,12
933,alec hines,f,10
934,alec hood,f,9
935,alec hubbard,f,12
936,alec humphrey,f,13
937,alec jaramillo,f,14
938,alec jenkins,f,12
939,alec martinez,f,13
940,alec mata,f,9
941,alec mccann,f,11
942,alec mckinney,f,13
943,alec mcpherson,f,14
944,alec moss,f,9
945,alec oconnell,f,13
946,alec olson,f,10
947,alec patel,f,10
948,alec pena,f,9
949,alec ramirez,f,12
950,alec ruiz,f,9
951,alec salinas,f,12
952,alec sanders,f,12
953,alec santiago,f,13
954,alec sellers,f,12
955,alec sierra,f,11
956,alec steele,f,11
957,alec stone,f,10
958,alec tanner,f,11
959,alec wallace,f,12
960,alec wyatt,f,10
961,alec zhang,f,10
962,alejandro atkins,f,16
963,alejandro ballard,f,17
964,alejandro benson,f,16
965,alejandro bowers,f,16
966,alejandro bradshaw,f,18
967,alejandro buckley,f,17
968,alejandro chan,f,14
969,alejandro charles,f,17
970,alejandro christensen,f,21
971,alejandro cobb,f,14
972,alejandro cortez,f,16
973,alejandro crane,f,15
974,alejandro davis,f,15
975,alejandro douglas,f,17
976,alejandro floyd,f,15
977,alejandro george,f,16
978,alejandro gillespie,f,19
979,alejandro guevara,f,17
980,alejandro hancock,f,17
981,alejandro hanson,f,16
982,alejandro heath,f,15
983,alejandro kirby,f,15
984,alejandro koch,f,14
985,alejandro lane,f,14
986,alejandro lawson,f,16
987,alejandro li,f,12
988,alejandro mack,f,14
989,alejandro manning,f,17
990,alejandro meza,f,14
991,alejandro moreno,f,16
992,alejandro odonnell,f,18
993,alejandro olsen,f,15
994,alejandro paul,f,14
995,alejandro pena,f,14
996,alejandro person,f,16
997,alejandro randolph,f,18
998,alejandro salazar,f,17
999,alejandro sanford,f,17
1000,alejandro santiago,f,18
1001,alejandro skinner,f,17
1002,alejandro sparks,f,16
1003,alejandro strong,f,16
1004,alejandro truong,f,16
1005,alejandro walsh,f,15
1006,alejandro welch,f,15
1007,alejandro woods,f,15
1008,alejandro wu,f,12
1009,alejandro yates,f,15
1010,alejandro young,f,15
1011,alex baxter,f,11
1012,alex berry,f,10
1013,alex blevins,f,12
1014,alex boyer,f,10
1015,alex burnett,f,12
1016,alex cain,f,9
1017,alex cortes,f,11
1018,alex dejesus,f,12
1019,alex dickerson,f,14
1020,alex dunlap,f,11
1021,alex fowler,f,11
1022,alex graham,f,11
1023,alex grimes,f,11
1024,alex hanson,f,11
1025,alex hood,f,9
1026,alex howard,f,11
1027,alex jenkins,f,12
1028,alex maldonado,f,14
1029,alex mann,f,9
1030,alex mcclain,f,12
1031,alex mercado,f,12
1032,alex moon,f,9
1033,alex moore,f,10
1034,alex neal,f,9
1035,alex orr,f,8
1036,alex owens,f,10
1037,alex pacheco,f,12
1038,alex parks,f,10
1039,alex poole,f,10
1040,alex powell,f,11
1041,alex quintero,f,13
1042,alex rhodes,f,11
1043,alex salinas,f,12
1044,alex santiago,f,13
1045,alex simmons,f,12
1046,alex snyder,f,11
1047,alex valencia,f,13
1048,alex washington,f,15
1049,alex webb,f,9
1050,alex wolf,f,9
1051,alexander ahmed,f,15
1052,alexander bender,f,16
1053,alexander benitez,f,17
1054,alexander benjamin,f,18
1055,alexander brock,f,15
1056,alexander delgado,f,17
1057,alexander espinoza,f,18
1058,alexander fleming,f,17
1059,alexander glover,f,16
1060,alexander grant,f,15
1061,alexander guerrero,f,18
1062,alexander hamilton,f,18
1063,alexander ho,f,12
1064,alexander holloway,f,18
1065,alexander lawson,f,16
1066,alexander livingston,f,20
1067,alexander lloyd,f,15
1068,alexander malone,f,16
1069,alexander mata,f,14
1070,alexander mccarty,f,17
1071,alexander mcgee,f,15
1072,alexander mckenzie,f,18
1073,alexander moody,f,15
1074,alexander payne,f,15
1075,alexander petersen,f,18
1076,alexander ramos,f,15
1077,alexander raymond,f,17
1078,alexander richards,f,18
1079,alexander rivera,f,16
1080,alexander rogers,f,16
1081,alexander salinas,f,17
1082,alexander sharp,f,15
1083,alexander shelton,f,17
1084,alexander sierra,f,16
1085,alexander steele,f,16
1086,alexander vargas,f,16
1087,alexander vaughn,f,16
1088,alexander vu,f,12
1089,alexander walters,f,17
1090,alexander ward,f,14
1091,alexander young,f,15
1092,alexis allen,f,12
1093,alexis benitez,f,14
1094,alexis bennett,f,14
1095,alexis brown,f,12
1096,alexis carpenter,f,16
1097,alexis carson,f,13
1098,alexis charles,f,14
1099,alexis chen,f,11
1100,alexis costa,f,12
1101,alexis davila,f,13
1102,alexis dean,f,11
1103,alexis dodson,f,13
1104,alexis dorsey,f,13
1105,alexis flores,f,13
1106,alexis glover,f,13
